Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
37.111, 55.792, -66.405, -178.156, 5.447, 0.005, 32.995, 1.218
37.388, 55.456, -67.275, -174.023, 5.443, 0.005, 33.180, 1.012
37.664, 55.115, -68.129, -170.703, 5.440, 0.005, 33.364, 0.807
37.938, 54.770, -68.970, -168.236, 5.437, 0.005, 33.546, 0.602
38.210, 54.421, -69.803, -166.539, 5.433, 0.005, 33.726, 0.398
38.480, 54.068, -70.631, -165.640, 5.431, 0.005, 33.904, 0.195
38.749, 53.711, -71.458, -165.498, 5.428, 0.005, 34.080, -0.008
39.015, 53.349, -72.289, -166.097, 5.425, 0.005, 34.255, -0.209
39.280, 52.984, -73.126, -167.410, 5.423, 0.005, 34.428, -0.410
39.543, 52.614, -73.973, -169.417, 5.420, 0.005, 34.599, -0.610
39.805, 52.240, -74.834, -172.109, 5.418, 0.005, 34.769, -0.808
40.064, 51.861, -75.711, -175.428, 5.416, 0.005, 34.937, -1.006
40.321, 51.478, -76.608, -179.392, 5.415, 0.005, 35.103, -1.202
40.577, 51.090, -77.527, -183.944, 5.413, 0.005, 35.268, -1.397
40.830, 50.698, -78.473, -189.075, 5.412, 0.005, 35.432, -1.591
41.082, 50.301, -79.447, -194.759, 5.410, 0.005, 35.593, -1.784
41.331, 49.899, -80.451, -200.965, 5.409, 0.005, 35.754, -1.975
41.579, 49.491, -81.490, -207.666, 5.409, 0.005, 35.912, -2.165
41.824, 49.078, -82.564, -214.843, 5.408, 0.005, 36.070, -2.353
42.067, 48.660, -83.676, -222.459, 5.407, 0.005, 36.226, -2.540
42.309, 48.236, -84.829, -230.487, 5.407, 0.005, 36.380, -2.725
42.548, 47.806, -86.023, -238.900, 5.407, 0.005, 36.533, -2.909
42.784, 47.369, -87.262, -247.661, 5.407, 0.005, 36.685, -3.091
43.019, 46.927, -88.545, -256.738, 5.408, 0.005, 36.835, -3.271
43.251, 46.477, -89.876, -266.094, 5.408, 0.005, 36.984, -3.449
43.482, 46.021, -91.254, -275.689, 5.409, 0.005, 37.131, -3.626
43.709, 45.558, -92.682, -285.486, 5.410, 0.005, 37.278, -3.801
43.935, 45.087, -94.159, -295.433, 5.411, 0.005, 37.422, -3.973
44.158, 44.608, -95.686, -305.490, 5.412, 0.005, 37.566, -4.144
44.378, 44.122, -97.264, -315.594, 5.414, 0.005, 37.708, -4.313
44.597, 43.628, -98.893, -325.701, 5.415, 0.005, 37.849, -4.479
44.812, 43.125, -100.571, -335.733, 5.417, 0.005, 37.988, -4.644
45.025, 42.613, -102.299, -345.637, 5.419, 0.005, 38.127, -4.806
45.236, 42.093, -104.076, -355.326, 5.422, 0.005, 38.264, -4.966
45.444, 41.563, -105.900, -364.730, 5.424, 0.005, 38.399, -5.123
45.649, 41.025, -107.769, -373.756, 5.427, 0.005, 38.533, -5.279
45.851, 40.476, -109.680, -382.301, 5.430, 0.005, 38.666, -5.431
46.051, 39.918, -111.631, -390.268, 5.433, 0.005, 38.798, -5.581
46.247, 39.350, -113.619, -397.543, 5.437, 0.005, 38.928, -5.729
46.441, 38.772, -115.639, -403.992, 5.440, 0.005, 39.056, -5.874
46.632, 38.183, -117.687, -409.490, 5.444, 0.005, 39.184, -6.016
46.820, 37.584, -119.756, -413.879, 5.449, 0.005, 39.310, -6.156
47.005, 36.975, -121.841, -417.014, 5.453, 0.005, 39.434, -6.292
47.187, 36.356, -123.935, -418.708, 5.458, 0.005, 39.557, -6.426
47.365, 35.725, -126.029, -418.796, 5.462, 0.005, 39.678, -6.557
47.541, 35.085, -128.114, -417.060, 5.468, 0.005, 39.798, -6.685
47.713, 34.434, -130.180, -413.313, 5.473, 0.005, 39.917, -6.810
47.882, 33.773, -132.217, -407.322, 5.479, 0.005, 40.033, -6.932
48.047, 33.102, -134.211, -398.848, 5.485, 0.005, 40.149, -7.051
48.209, 32.421, -136.150, -387.660, 5.491, 0.005, 40.262, -7.167
48.368, 31.731, -138.017, -373.490, 5.497, 0.005, 40.374, -7.280
48.523, 31.032, -139.797, -356.083, 5.504, 0.005, 40.484, -7.389
48.675, 30.325, -141.473, -335.161, 5.511, 0.005, 40.592, -7.495
48.823, 29.610, -143.025, -310.453, 5.518, 0.005, 40.699, -7.598
48.967, 28.887, -144.434, -281.684, 5.526, 0.005, 40.803, -7.698
49.108, 28.159, -145.677, -248.578, 5.534, 0.005, 40.906, -7.794
49.245, 27.425, -146.731, -210.868, 5.542, 0.005, 41.007, -7.887
49.379, 26.687, -147.573, -168.305, 5.550, 0.005, 41.105, -7.977
49.508, 25.947, -148.176, -120.652, 5.559, 0.005, 41.202, -8.063
49.634, 25.204, -148.514, -67.695, 5.568, 0.005, 41.297, -8.146
49.757, 24.461, -148.561, -9.263, 5.577, 0.005, 41.389, -8.226
49.875, 23.720, -148.287, 54.786, 5.586, 0.005, 41.480, -8.303
49.990, 22.981, -147.664, 124.536, 5.596, 0.005, 41.569, -8.376
50.102, 22.248, -146.664, 200.021, 5.606, 0.005, 41.655, -8.446
50.209, 21.522, -145.258, 281.199, 5.616, 0.005, 41.739, -8.513
50.313, 20.805, -143.418, 367.963, 5.627, 0.005, 41.821, -8.577
50.414, 20.099, -141.118, 460.097, 5.638, 0.005, 41.901, -8.638
50.511, 19.408, -138.331, 557.327, 5.649, 0.005, 41.979, -8.696
50.604, 18.732, -135.035, 659.247, 5.660, 0.005, 42.055, -8.751
50.695, 18.076, -131.208, 765.354, 5.672, 0.005, 42.128, -8.803
50.782, 17.442, -126.833, 875.045, 5.684, 0.005, 42.200, -8.853
50.866, 16.833, -121.895, 987.590, 5.696, 0.005, 42.270, -8.900
50.947, 16.251, -116.384, 1102.156, 5.708, 0.005, 42.338, -8.945
51.026, 15.699, -110.295, 1217.808, 5.720, 0.005, 42.404, -8.987
51.102, 15.181, -103.628, 1333.503, 5.733, 0.005, 42.468, -9.027
