Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
0.581, 4.155, 19.836, 44.999, 6.283, 0.005, 0.581, -15.000
0.603, 4.255, 20.060, 44.823, 6.283, 0.005, 0.603, -15.000
0.624, 4.357, 20.283, 44.640, 6.283, 0.005, 0.624, -15.000
0.647, 4.459, 20.505, 44.456, 6.283, 0.005, 0.647, -15.000
0.669, 4.563, 20.727, 44.266, 6.283, 0.005, 0.669, -15.000
0.693, 4.668, 20.947, 44.074, 6.283, 0.005, 0.693, -15.000
0.717, 4.773, 21.166, 43.876, 6.283, 0.005, 0.717, -15.000
0.741, 4.880, 21.385, 43.677, 6.283, 0.005, 0.741, -15.000
0.766, 4.988, 21.602, 43.471, 6.283, 0.005, 0.766, -15.000
0.792, 5.097, 21.818, 43.264, 6.283, 0.005, 0.792, -15.000
0.818, 5.208, 22.034, 43.051, 6.283, 0.005, 0.818, -15.000
0.844, 5.319, 22.248, 42.836, 6.283, 0.005, 0.844, -15.000
0.871, 5.431, 22.461, 42.616, 6.283, 0.005, 0.871, -15.000
0.899, 5.545, 22.673, 42.392, 6.283, 0.005, 0.899, -15.000
0.927, 5.659, 22.884, 42.165, 6.283, 0.005, 0.927, -15.000
0.956, 5.774, 23.093, 41.934, 6.283, 0.005, 0.956, -15.000
0.986, 5.891, 23.302, 41.700, 6.283, 0.005, 0.986, -15.000
1.016, 6.008, 23.509, 41.460, 6.283, 0.005, 1.016, -15.000
1.046, 6.127, 23.715, 41.219, 6.283, 0.005, 1.046, -15.000
1.078, 6.247, 23.920, 40.972, 6.282, 0.005, 1.078, -15.000
1.109, 6.367, 24.124, 40.723, 6.282, 0.005, 1.109, -15.000
1.142, 6.489, 24.326, 40.470, 6.282, 0.005, 1.142, -15.000
1.175, 6.612, 24.527, 40.212, 6.282, 0.005, 1.175, -15.000
1.209, 6.735, 24.727, 39.953, 6.282, 0.005, 1.209, -15.000
1.243, 6.860, 24.925, 39.687, 6.282, 0.005, 1.243, -15.000
1.278, 6.985, 25.123, 39.420, 6.282, 0.005, 1.278, -15.000
1.313, 7.112, 25.318, 39.149, 6.282, 0.005, 1.313, -15.000
1.350, 7.240, 25.513, 38.873, 6.282, 0.005, 1.350, -15.001
1.386, 7.368, 25.706, 38.595, 6.282, 0.005, 1.386, -15.001
1.424, 7.498, 25.897, 38.314, 6.282, 0.005, 1.424, -15.001
1.462, 7.628, 26.087, 38.027, 6.282, 0.005, 1.462, -15.001
1.501, 7.759, 26.276, 37.740, 6.282, 0.005, 1.501, -15.001
1.540, 7.892, 26.463, 37.446, 6.282, 0.005, 1.540, -15.001
1.580, 8.025, 26.649, 37.153, 6.282, 0.005, 1.580, -15.001
1.621, 8.159, 26.833, 36.854, 6.282, 0.005, 1.621, -15.001
1.663, 8.294, 27.016, 36.553, 6.281, 0.005, 1.663, -15.001
1.705, 8.430, 27.197, 36.248, 6.281, 0.005, 1.705, -15.001
1.748, 8.567, 27.377, 35.940, 6.281, 0.005, 1.748, -15.001
1.791, 8.705, 27.555, 35.631, 6.281, 0.005, 1.791, -15.001
1.835, 8.844, 27.732, 35.315, 6.281, 0.005, 1.835, -15.001
1.880, 8.983, 27.907, 35.000, 6.281, 0.005, 1.880, -15.001
1.926, 9.123, 28.080, 34.681, 6.281, 0.005, 1.926, -15.001
1.972, 9.265, 28.252, 34.358, 6.281, 0.005, 1.972, -15.002
2.019, 9.407, 28.422, 34.035, 6.281, 0.005, 2.019, -15.002
2.067, 9.550, 28.591, 33.706, 6.281, 0.005, 2.067, -15.002
2.116, 9.694, 28.758, 33.375, 6.280, 0.005, 2.116, -15.002
2.165, 9.838, 28.923, 33.047, 6.280, 0.005, 2.165, -15.002
2.215, 9.984, 29.086, 32.708, 6.280, 0.005, 2.215, -15.002
2.265, 10.130, 29.248, 32.374, 6.280, 0.005, 2.265, -15.002
2.317, 10.277, 29.408, 32.034, 6.280, 0.005, 2.317, -15.003
2.369, 10.425, 29.567, 31.692, 6.280, 0.005, 2.369, -15.003
2.422, 10.573, 29.724, 31.350, 6.280, 0.005, 2.422, -15.003
2.475, 10.723, 29.879, 31.005, 6.279, 0.005, 2.475, -15.003
2.530, 10.873, 30.032, 30.657, 6.279, 0.005, 2.530, -15.003
2.585, 11.024, 30.183, 30.311, 6.279, 0.005, 2.585, -15.004
2.641, 11.175, 30.333, 29.957, 6.279, 0.005, 2.641, -15.004
2.697, 11.328, 30.481, 29.608, 6.279, 0.005, 2.697, -15.004
2.755, 11.481, 30.627, 29.254, 6.278, 0.005, 2.755, -15.004
2.813, 11.635, 30.772, 28.898, 6.278, 0.005, 2.813, -15.005
2.872, 11.789, 30.915, 28.544, 6.278, 0.005, 2.872, -15.005
2.932, 11.945, 31.056, 28.186, 6.278, 0.005, 2.931, -15.005
2.992, 12.101, 31.195, 27.829, 6.278, 0.005, 2.992, -15.006
3.053, 12.257, 31.332, 27.469, 6.277, 0.005, 3.053, -15.006
3.115, 12.415, 31.468, 27.111, 6.277, 0.005, 3.115, -15.006
3.178, 12.573, 31.601, 26.751, 6.277, 0.005, 3.178, -15.007
3.242, 12.731, 31.733, 26.392, 6.277, 0.005, 3.242, -15.007
3.306, 12.891, 31.864, 26.027, 6.276, 0.005, 3.306, -15.008
3.372, 13.051, 31.992, 25.672, 6.276, 0.005, 3.372, -15.008
3.438, 13.211, 32.118, 25.306, 6.276, 0.005, 3.438, -15.008
3.505, 13.372, 32.243, 24.948, 6.276, 0.005, 3.504, -15.009
3.572, 13.534, 32.366, 24.587, 6.275, 0.005, 3.572, -15.009
3.641, 13.697, 32.487, 24.227, 6.275, 0.005, 3.641, -15.010
3.710, 13.860, 32.607, 23.867, 6.275, 0.005, 3.710, -15.011
3.780, 14.023, 32.724, 23.509, 6.274, 0.005, 3.780, -15.011
3.851, 14.188, 32.840, 23.151, 6.274, 0.005, 3.851, -15.012
3.923, 14.352, 32.954, 22.797, 6.274, 0.005, 3.923, -15.013
3.995, 14.518, 33.066, 22.437, 6.273, 0.005, 3.995, -15.013
4.069, 14.684, 33.176, 22.087, 6.273, 0.005, 4.069, -15.014
4.143, 14.850, 33.285, 21.732, 6.272, 0.005, 4.143, -15.015
4.218, 15.017, 33.392, 21.384, 6.272, 0.005, 4.218, -15.016
4.294, 15.184, 33.497, 21.032, 6.272, 0.005, 4.294, -15.016
4.371, 15.352, 33.601, 20.691, 6.271, 0.005, 4.371, -15.017
4.448, 15.521, 33.702, 20.344, 6.271, 0.005, 4.448, -15.018
4.527, 15.690, 33.802, 20.003, 6.270, 0.005, 4.527, -15.019
4.606, 15.859, 33.901, 19.666, 6.270, 0.005, 4.606, -15.020
4.686, 16.029, 33.997, 19.333, 6.269, 0.005, 4.686, -15.021
4.767, 16.200, 34.092, 18.997, 6.269, 0.005, 4.767, -15.023
4.849, 16.371, 34.186, 18.671, 6.269, 0.005, 4.849, -15.024
4.932, 16.542, 34.277, 18.347, 6.268, 0.005, 4.932, -15.025
5.015, 16.714, 34.253, -4.819, 6.268, 0.005, 5.015, -15.026
5.100, 16.884, 34.114, -27.824, 6.267, 0.005, 5.100, -15.028
5.185, 17.054, 33.975, -27.874, 6.266, 0.005, 5.185, -15.029
5.271, 17.223, 33.835, -27.914, 6.266, 0.005, 5.271, -15.030
5.358, 17.392, 33.696, -27.944, 6.265, 0.005, 5.358, -15.032
5.446, 17.559, 33.556, -27.973, 6.265, 0.005, 5.446, -15.034
5.535, 17.726, 33.416, -27.984, 6.264, 0.005, 5.534, -15.035
5.624, 17.893, 33.276, -27.986, 6.263, 0.005, 5.624, -15.037
5.714, 18.059, 33.136, -27.988, 6.263, 0.005, 5.714, -15.039
5.806, 18.224, 32.996, -27.968, 6.262, 0.005, 5.805, -15.041
5.897, 18.388, 32.856, -27.947, 6.262, 0.005, 5.897, -15.043
5.990, 18.551, 32.717, -27.914, 6.261, 0.005, 5.990, -15.045
6.084, 18.714, 32.577, -27.866, 6.260, 0.005, 6.083, -15.047
6.178, 18.876, 32.438, -27.820, 6.259, 0.005, 6.178, -15.049
6.273, 19.038, 32.300, -27.746, 6.259, 0.005, 6.273, -15.051
6.369, 19.199, 32.161, -27.683, 6.258, 0.005, 6.369, -15.054
6.466, 19.359, 32.023, -27.587, 6.257, 0.005, 6.466, -15.056
6.564, 19.518, 31.886, -27.502, 6.256, 0.005, 6.563, -15.059
6.662, 19.677, 31.749, -27.388, 6.256, 0.005, 6.662, -15.061
6.761, 19.835, 31.612, -27.275, 6.255, 0.005, 6.761, -15.064
6.861, 19.992, 31.477, -27.146, 6.254, 0.005, 6.861, -15.067
6.962, 20.149, 31.342, -27.000, 6.253, 0.005, 6.961, -15.070
7.064, 20.305, 31.207, -26.857, 6.252, 0.005, 7.063, -15.073
7.166, 20.461, 31.074, -26.689, 6.251, 0.005, 7.165, -15.076
7.269, 20.615, 30.941, -26.511, 6.250, 0.005, 7.268, -15.080
7.373, 20.769, 30.810, -26.327, 6.249, 0.005, 7.372, -15.083
7.477, 20.923, 30.679, -26.127, 6.249, 0.005, 7.476, -15.087
7.583, 21.076, 30.550, -25.913, 6.248, 0.005, 7.582, -15.090
7.689, 21.228, 30.421, -25.688, 6.247, 0.005, 7.688, -15.094
7.796, 21.379, 30.294, -25.449, 6.246, 0.005, 7.795, -15.098
7.903, 21.530, 30.168, -25.197, 6.245, 0.005, 7.902, -15.102
8.012, 21.680, 30.043, -24.931, 6.243, 0.005, 8.011, -15.107
8.121, 21.830, 29.920, -24.653, 6.242, 0.005, 8.120, -15.111
8.231, 21.979, 29.798, -24.359, 6.241, 0.005, 8.229, -15.116
8.342, 22.127, 29.678, -24.051, 6.240, 0.005, 8.340, -15.120
8.453, 22.275, 29.559, -23.730, 6.239, 0.005, 8.451, -15.125
8.565, 22.422, 29.442, -23.393, 6.238, 0.005, 8.563, -15.130
8.678, 22.569, 29.327, -23.042, 6.237, 0.005, 8.676, -15.135
8.791, 22.715, 29.214, -22.675, 6.235, 0.005, 8.789, -15.141
8.906, 22.860, 29.102, -22.291, 6.234, 0.005, 8.904, -15.146
9.021, 23.005, 28.993, -21.891, 6.233, 0.005, 9.018, -15.152
9.136, 23.150, 28.885, -21.482, 6.232, 0.005, 9.134, -15.158
9.253, 23.294, 28.780, -21.047, 6.230, 0.005, 9.250, -15.164
9.370, 23.437, 28.677, -20.599, 6.229, 0.005, 9.367, -15.170
9.488, 23.580, 28.577, -20.140, 6.228, 0.005, 9.485, -15.176
9.607, 23.722, 28.478, -19.650, 6.226, 0.005, 9.604, -15.183
9.726, 23.864, 28.382, -19.159, 6.225, 0.005, 9.723, -15.190
9.846, 24.006, 28.289, -18.636, 6.224, 0.005, 9.842, -15.197
9.967, 24.147, 28.199, -18.103, 6.222, 0.005, 9.963, -15.204
10.088, 24.287, 28.111, -17.552, 6.221, 0.005, 10.084, -15.212
10.210, 24.427, 28.026, -16.977, 6.219, 0.005, 10.206, -15.220
10.333, 24.567, 27.944, -16.384, 6.218, 0.005, 10.329, -15.227
10.457, 24.706, 27.865, -15.779, 6.216, 0.005, 10.452, -15.236
10.581, 24.845, 27.790, -15.147, 6.215, 0.005, 10.576, -15.244
10.706, 24.984, 27.717, -14.498, 6.213, 0.005, 10.700, -15.253
10.831, 25.122, 27.648, -13.828, 6.211, 0.005, 10.826, -15.262
10.958, 25.260, 27.582, -13.139, 6.210, 0.005, 10.952, -15.271
11.085, 25.398, 27.520, -12.429, 6.208, 0.005, 11.078, -15.280
11.212, 25.535, 27.462, -11.696, 6.206, 0.005, 11.206, -15.290
11.341, 25.672, 27.407, -10.946, 6.205, 0.005, 11.334, -15.300
11.470, 25.809, 27.356, -10.175, 6.203, 0.005, 11.462, -15.310
11.600, 25.945, 27.309, -9.378, 6.201, 0.005, 11.592, -15.321
11.730, 26.082, 27.266, -8.560, 6.199, 0.005, 11.722, -15.331
11.861, 26.218, 27.228, -7.728, 6.198, 0.005, 11.852, -15.342
11.993, 26.354, 27.193, -6.859, 6.196, 0.005, 11.983, -15.354
12.125, 26.490, 27.163, -5.985, 6.194, 0.005, 12.115, -15.365
12.258, 26.625, 27.138, -5.076, 6.192, 0.005, 12.248, -15.377
12.392, 26.761, 27.117, -4.147, 6.190, 0.005, 12.381, -15.390
12.527, 26.896, 27.101, -3.202, 6.188, 0.005, 12.515, -15.402
12.662, 27.032, 27.090, -2.226, 6.186, 0.005, 12.650, -15.415
12.798, 27.167, 26.982, -21.705, 6.184, 0.005, 12.785, -15.429
12.934, 27.301, 26.777, -41.016, 6.182, 0.005, 12.921, -15.442
13.071, 27.434, 26.578, -39.749, 6.180, 0.005, 13.057, -15.456
13.209, 27.565, 26.386, -38.468, 6.178, 0.005, 13.194, -15.470
13.348, 27.696, 26.200, -37.172, 6.176, 0.005, 13.332, -15.485
13.487, 27.827, 26.020, -35.863, 6.174, 0.005, 13.470, -15.500
13.627, 27.956, 25.848, -34.539, 6.172, 0.005, 13.609, -15.515
13.767, 28.084, 25.682, -33.203, 6.170, 0.005, 13.749, -15.531
13.908, 28.212, 25.522, -31.860, 6.168, 0.005, 13.889, -15.547
14.050, 28.339, 25.370, -30.500, 6.165, 0.005, 14.030, -15.564
14.192, 28.465, 25.224, -29.130, 6.163, 0.005, 14.171, -15.581
14.335, 28.590, 25.085, -27.751, 6.161, 0.005, 14.313, -15.598
14.479, 28.715, 24.954, -26.367, 6.159, 0.005, 14.455, -15.616
14.623, 28.839, 24.829, -24.969, 6.156, 0.005, 14.598, -15.634
14.768, 28.963, 24.711, -23.565, 6.154, 0.005, 14.742, -15.652
14.913, 29.086, 24.600, -22.156, 6.152, 0.005, 14.886, -15.671
15.059, 29.208, 24.496, -20.743, 6.149, 0.005, 15.031, -15.691
15.206, 29.330, 24.400, -19.322, 6.147, 0.005, 15.176, -15.710
15.353, 29.452, 24.310, -17.899, 6.144, 0.005, 15.322, -15.731
15.501, 29.573, 24.228, -16.473, 6.142, 0.005, 15.468, -15.751
15.649, 29.694, 24.153, -15.045, 6.139, 0.005, 15.615, -15.772
15.798, 29.814, 24.085, -13.617, 6.137, 0.005, 15.763, -15.794
15.948, 29.934, 24.024, -12.189, 6.134, 0.005, 15.911, -15.816
16.098, 30.054, 23.970, -10.763, 6.132, 0.005, 16.060, -15.838
16.249, 30.174, 23.923, -9.340, 6.129, 0.005, 16.209, -15.861
16.401, 30.293, 23.884, -7.919, 6.127, 0.005, 16.358, -15.885
16.553, 30.412, 23.851, -6.506, 6.124, 0.005, 16.508, -15.909
16.705, 30.531, 23.826, -5.098, 6.122, 0.005, 16.659, -15.933
16.859, 30.650, 23.807, -3.695, 6.119, 0.005, 16.810, -15.958
17.012, 30.769, 23.796, -2.304, 6.116, 0.005, 16.962, -15.983
17.167, 30.888, 23.791, -0.923, 6.114, 0.005, 17.114, -16.009
17.322, 31.007, 23.793, 0.449, 6.111, 0.005, 17.267, -16.035
17.478, 31.126, 23.802, 1.806, 6.108, 0.005, 17.420, -16.062
17.634, 31.245, 23.818, 3.150, 6.105, 0.005, 17.574, -16.090
17.791, 31.365, 23.840, 4.481, 6.103, 0.005, 17.729, -16.118
17.948, 31.484, 23.869, 5.791, 6.100, 0.005, 17.883, -16.146
18.106, 31.604, 23.905, 7.088, 6.097, 0.005, 18.039, -16.175
18.265, 31.723, 23.947, 8.362, 6.094, 0.005, 18.195, -16.205
18.424, 31.843, 23.995, 9.618, 6.092, 0.005, 18.351, -16.235
18.584, 31.963, 24.049, 10.851, 6.089, 0.005, 18.508, -16.265
18.744, 32.084, 24.109, 12.062, 6.086, 0.005, 18.665, -16.297
18.905, 32.205, 24.175, 13.246, 6.083, 0.005, 18.823, -16.328
19.067, 32.326, 24.248, 14.408, 6.080, 0.005, 18.981, -16.361
19.229, 32.448, 24.325, 15.540, 6.077, 0.005, 19.140, -16.394
19.392, 32.570, 24.408, 16.646, 6.075, 0.005, 19.300, -16.427
19.555, 32.692, 24.497, 17.722, 6.072, 0.005, 19.459, -16.461
19.719, 32.815, 24.591, 18.766, 6.069, 0.005, 19.620, -16.496
19.884, 32.939, 24.690, 19.781, 6.066, 0.005, 19.781, -16.531
20.049, 33.063, 24.794, 20.761, 6.063, 0.005, 19.942, -16.567
20.215, 33.187, 24.902, 21.707, 6.060, 0.005, 20.104, -16.604
20.382, 33.312, 25.015, 22.619, 6.057, 0.005, 20.266, -16.641
20.549, 33.438, 25.133, 23.493, 6.054, 0.005, 20.429, -16.678
20.717, 33.564, 25.254, 24.332, 6.051, 0.005, 20.593, -16.717
20.885, 33.691, 25.380, 25.132, 6.048, 0.005, 20.756, -16.756
21.054, 33.819, 25.509, 25.893, 6.045, 0.005, 20.921, -16.795
21.224, 33.947, 25.643, 26.615, 6.042, 0.005, 21.086, -16.836
21.395, 34.076, 25.779, 27.295, 6.039, 0.005, 21.251, -16.876
21.566, 34.205, 25.919, 27.935, 6.036, 0.005, 21.417, -16.918
21.737, 34.336, 26.061, 28.532, 6.033, 0.005, 21.583, -16.960
21.910, 34.467, 26.207, 29.087, 6.030, 0.005, 21.750, -17.003
22.083, 34.598, 26.355, 29.599, 6.027, 0.005, 21.918, -17.047
22.256, 34.731, 26.505, 30.067, 6.024, 0.005, 22.086, -17.091
22.431, 34.864, 26.658, 30.491, 6.021, 0.005, 22.254, -17.136
22.606, 34.998, 26.812, 30.870, 6.018, 0.005, 22.423, -17.181
22.781, 35.133, 26.968, 31.205, 6.015, 0.005, 22.593, -17.227
22.958, 35.269, 27.125, 31.493, 6.012, 0.005, 22.763, -17.274
23.135, 35.405, 27.284, 31.739, 6.010, 0.005, 22.933, -17.322
23.312, 35.542, 27.444, 31.937, 6.007, 0.005, 23.104, -17.370
23.491, 35.680, 27.604, 32.090, 6.004, 0.005, 23.276, -17.419
23.670, 35.819, 27.765, 32.200, 6.001, 0.005, 23.448, -17.469
23.850, 35.959, 27.927, 32.261, 5.998, 0.005, 23.620, -17.519
24.030, 36.099, 28.088, 32.280, 5.995, 0.005, 23.793, -17.570
24.211, 36.241, 28.249, 32.252, 5.992, 0.005, 23.967, -17.622
24.393, 36.383, 28.410, 32.181, 5.989, 0.005, 24.141, -17.675
24.576, 36.525, 28.570, 32.065, 5.986, 0.005, 24.316, -17.728
24.759, 36.669, 28.730, 31.905, 5.983, 0.005, 24.491, -17.782
24.943, 36.814, 28.889, 31.703, 5.980, 0.005, 24.667, -17.837
25.128, 36.959, 29.046, 31.456, 5.977, 0.005, 24.843, -17.892
25.314, 37.105, 29.202, 31.170, 5.974, 0.005, 25.020, -17.948
25.500, 37.252, 29.356, 30.838, 5.971, 0.005, 25.197, -18.005
25.687, 37.399, 29.508, 30.471, 5.968, 0.005, 25.375, -18.063
25.875, 37.547, 29.658, 30.060, 5.966, 0.005, 25.554, -18.121
26.063, 37.696, 29.807, 29.610, 5.963, 0.005, 25.733, -18.180
26.252, 37.846, 29.952, 29.125, 5.960, 0.005, 25.912, -18.240
26.442, 37.997, 30.095, 28.597, 5.957, 0.005, 26.092, -18.301
26.633, 38.148, 30.235, 28.039, 5.954, 0.005, 26.273, -18.362
26.825, 38.300, 30.373, 27.442, 5.952, 0.005, 26.454, -18.424
27.017, 38.452, 30.507, 26.809, 5.949, 0.005, 26.636, -18.487
27.210, 38.605, 30.637, 26.147, 5.946, 0.005, 26.818, -18.551
27.404, 38.759, 30.765, 25.453, 5.943, 0.005, 27.001, -18.615
27.598, 38.914, 30.888, 24.722, 5.941, 0.005, 27.184, -18.680
27.794, 39.069, 31.008, 23.969, 5.938, 0.005, 27.368, -18.746
27.990, 39.224, 31.124, 23.180, 5.935, 0.005, 27.552, -18.813
28.187, 39.381, 31.236, 22.370, 5.932, 0.005, 27.737, -18.880
28.384, 39.537, 31.343, 21.531, 5.930, 0.005, 27.923, -18.948
28.583, 39.695, 31.447, 20.667, 5.927, 0.005, 28.109, -19.017
28.782, 39.852, 31.546, 19.779, 5.925, 0.005, 28.296, -19.087
28.982, 40.010, 31.640, 18.870, 5.922, 0.005, 28.483, -19.157
29.183, 40.169, 31.730, 17.938, 5.920, 0.005, 28.671, -19.228
29.384, 40.328, 31.815, 16.988, 5.917, 0.005, 28.859, -19.300
29.587, 40.488, 31.895, 16.019, 5.915, 0.005, 29.048, -19.373
29.790, 40.647, 31.970, 15.033, 5.912, 0.005, 29.238, -19.447
29.994, 40.808, 32.040, 14.029, 5.910, 0.005, 29.428, -19.521
30.199, 40.968, 32.105, 13.013, 5.907, 0.005, 29.618, -19.596
30.405, 41.129, 32.165, 11.982, 5.905, 0.005, 29.810, -19.671
30.611, 41.290, 32.220, 10.936, 5.902, 0.005, 30.001, -19.748
30.818, 41.451, 32.269, 9.886, 5.900, 0.005, 30.194, -19.825
31.026, 41.613, 32.313, 8.820, 5.898, 0.005, 30.386, -19.903
31.235, 41.775, 32.352, 7.746, 5.895, 0.005, 30.580, -19.982
31.445, 41.937, 32.385, 6.668, 5.893, 0.005, 30.774, -20.062
31.656, 42.099, 32.413, 5.578, 5.891, 0.005, 30.969, -20.142
31.867, 42.261, 32.436, 4.488, 5.889, 0.005, 31.164, -20.223
32.079, 42.423, 32.453, 3.389, 5.887, 0.005, 31.359, -20.304
32.292, 42.586, 32.464, 2.292, 5.884, 0.005, 31.556, -20.387
32.506, 42.748, 32.470, 1.188, 5.882, 0.005, 31.753, -20.470
