SuperstructureState, PDPVoltage, PDPTotalPower, PDPTemp, timestamp
IDLE, 0.0, 0.0, 0.0, 582.904577
IDLE, 0.0, 0.0, 0.0, 582.92235
IDLE, 0.0, 0.0, 0.0, 582.94661
IDLE, 0.0, 0.0, 0.0, 582.966216
IDLE, 0.0, 0.0, 0.0, 582.987847
IDLE, 0.0, 0.0, 0.0, 583.003616
IDLE, 0.0, 0.0, 0.0, 583.024856
IDLE, 0.0, 0.0, 0.0, 583.045582
IDLE, 0.0, 0.0, 0.0, 583.05855
IDLE, 0.0, 0.0, 0.0, 583.085756
IDLE, 0.0, 0.0, 0.0, 583.101551
IDLE, 0.0, 0.0, 0.0, 583.127813
IDLE, 0.0, 0.0, 0.0, 583.148157
IDLE, 0.0, 0.0, 0.0, 583.16943
IDLE, 0.0, 0.0, 0.0, 583.190843
IDLE, 0.0, 0.0, 0.0, 583.210116
IDLE, 0.0, 0.0, 0.0, 583.224777
IDLE, 0.0, 0.0, 0.0, 583.248756
IDLE, 0.0, 0.0, 0.0, 583.262062
IDLE, 0.0, 0.0, 0.0, 583.291239
IDLE, 0.0, 0.0, 0.0, 583.309375
IDLE, 0.0, 0.0, 0.0, 583.3266
IDLE, 0.0, 0.0, 0.0, 583.348837
IDLE, 0.0, 0.0, 0.0, 583.369543
IDLE, 0.0, 0.0, 0.0, 583.394136
IDLE, 0.0, 0.0, 0.0, 583.41527
IDLE, 0.0, 0.0, 0.0, 583.431438
IDLE, 0.0, 0.0, 0.0, 583.463831
IDLE, 0.0, 0.0, 0.0, 583.477965
IDLE, 0.0, 0.0, 0.0, 583.507835
IDLE, 0.0, 0.0, 0.0, 583.525196
IDLE, 0.0, 0.0, 0.0, 583.548846
IDLE, 0.0, 0.0, 0.0, 583.566924
IDLE, 0.0, 0.0, 0.0, 583.585048
IDLE, 0.0, 0.0, 0.0, 583.60642
IDLE, 0.0, 0.0, 0.0, 583.628005
IDLE, 0.0, 0.0, 0.0, 583.650623
IDLE, 0.0, 0.0, 0.0, 583.67236
IDLE, 0.0, 0.0, 0.0, 583.698643
IDLE, 0.0, 0.0, 0.0, 583.72127
IDLE, 0.0, 0.0, 0.0, 583.742398
IDLE, 0.0, 0.0, 0.0, 583.767178
IDLE, 0.0, 0.0, 0.0, 583.782892
IDLE, 0.0, 0.0, 0.0, 583.810104
IDLE, 0.0, 0.0, 0.0, 583.833327
IDLE, 0.0, 0.0, 0.0, 583.851512
IDLE, 0.0, 0.0, 0.0, 583.872663
IDLE, 0.0, 0.0, 0.0, 583.888762
IDLE, 0.0, 0.0, 0.0, 583.910231
IDLE, 0.0, 0.0, 0.0, 583.952737
IDLE, 0.0, 0.0, 0.0, 583.971084
IDLE, 0.0, 0.0, 0.0, 583.991362
IDLE, 0.0, 0.0, 0.0, 584.010394
IDLE, 0.0, 0.0, 0.0, 584.037279
IDLE, 0.0, 0.0, 0.0, 584.053611
IDLE, 0.0, 0.0, 0.0, 584.071303
IDLE, 0.0, 0.0, 0.0, 584.093941
IDLE, 0.0, 0.0, 0.0, 584.120796
IDLE, 0.0, 0.0, 0.0, 584.136727
IDLE, 0.0, 0.0, 0.0, 584.16235
IDLE, 0.0, 0.0, 0.0, 584.181565
IDLE, 0.0, 0.0, 0.0, 584.201569
IDLE, 0.0, 0.0, 0.0, 584.220574
IDLE, 0.0, 0.0, 0.0, 584.243815
IDLE, 0.0, 0.0, 0.0, 584.266287
IDLE, 0.0, 0.0, 0.0, 584.286511
IDLE, 0.0, 0.0, 0.0, 584.302051
IDLE, 0.0, 0.0, 0.0, 584.333348
IDLE, 0.0, 0.0, 0.0, 584.36382
IDLE, 0.0, 0.0, 0.0, 584.382336
IDLE, 0.0, 0.0, 0.0, 584.402206
IDLE, 0.0, 0.0, 0.0, 584.426672
IDLE, 0.0, 0.0, 0.0, 584.446004
IDLE, 0.0, 0.0, 0.0, 584.470534
IDLE, 0.0, 0.0, 0.0, 584.488737
IDLE, 0.0, 0.0, 0.0, 584.518026
IDLE, 0.0, 0.0, 0.0, 584.535662
IDLE, 0.0, 0.0, 0.0, 584.554051
IDLE, 0.0, 0.0, 0.0, 584.57417
IDLE, 0.0, 0.0, 0.0, 584.595423
IDLE, 0.0, 0.0, 0.0, 584.61431
IDLE, 0.0, 0.0, 0.0, 584.636406
IDLE, 0.0, 0.0, 0.0, 584.656846
IDLE, 0.0, 0.0, 0.0, 584.674879
IDLE, 0.0, 0.0, 0.0, 584.697868
IDLE, 0.0, 0.0, 0.0, 584.719307
IDLE, 0.0, 0.0, 0.0, 584.740977
IDLE, 0.0, 0.0, 0.0, 584.757361
IDLE, 0.0, 0.0, 0.0, 584.784926
IDLE, 0.0, 0.0, 0.0, 584.805076
IDLE, 0.0, 0.0, 0.0, 584.822405
