timestamp, controlMode, output, position, velocity, setpoint
-1.0, MOTION_MAGIC, 0.8494623655913979, 182.373046875, 195.1171875, 243.5
-1.0, MOTION_MAGIC, 0.804496578690127, 194.23828125, 195.1171875, 243.5
-1.0, MOTION_MAGIC, 0.7839687194525904, 206.982421875, 195.1171875, 243.5
-1.0, MOTION_MAGIC, 0.7693059628543499, 217.96875, 192.48046875, 243.5
-1.0, MOTION_MAGIC, 0.22678396871945258, 230.2734375, 189.84375, 243.5
-1.0, MOTION_MAGIC, -0.20039100684261973, 239.0625, 167.87109375, 243.5
-1.0, MOTION_MAGIC, -0.15542521994134897, 238.798828125, 66.796875, 243.5
-1.0, MOTION_MAGIC, -0.12609970674486803, 237.12890625, -13.18359375, 243.5
-1.0, MOTION_MAGIC, -0.05571847507331378, 235.986328125, -17.578125, 243.5
-1.0, MOTION_MAGIC, -0.09872922776148582, 235.458984375, -14.0625, 243.5
-1.0, MOTION_MAGIC, -0.08113391984359726, 234.404296875, -7.91015625, 243.5
-1.0, MOTION_MAGIC, -0.07135874877810362, 233.96484375, -4.39453125, 243.5
-1.0, MOTION_MAGIC, -0.06940371456500488, 233.701171875, -1.7578125, 243.5
-1.0, MOTION_MAGIC, -0.06647116324535679, 233.61328125, -1.7578125, 243.5
-1.0, MOTION_MAGIC, -0.06451612903225806, 233.525390625, -0.87890625, 243.5
-1.0, MOTION_MAGIC, -0.06451612903225806, 233.525390625, 0.0, 243.5
-1.0, MOTION_MAGIC, -0.0635386119257087, 233.4375, 0.0, 243.5
-1.0, MOTION_MAGIC, -0.0635386119257087, 233.4375, -0.87890625, 243.5
-1.0, MOTION_MAGIC, -0.0635386119257087, 233.4375, 0.0, 243.5
-1.0, MOTION_MAGIC, -0.0635386119257087, 233.4375, 0.0, 243.5
-1.0, MOTION_MAGIC, -0.0635386119257087, 233.4375, 0.0, 243.5
-1.0, MOTION_MAGIC, -0.0635386119257087, 233.4375, 0.0, 243.5
-1.0, MOTION_MAGIC, -0.0635386119257087, 233.4375, 0.0, 243.5
-1.0, MOTION_MAGIC, -0.0635386119257087, 233.4375, 0.0, 243.5
-1.0, MOTION_MAGIC, -0.0635386119257087, 233.4375, 0.0, 243.5
-1.0, MOTION_MAGIC, -0.0635386119257087, 233.4375, 0.0, 243.5
-1.0, MOTION_MAGIC, -0.0635386119257087, 233.4375, 0.0, 243.5
